aisle_id,aisle
222,222,abc,abc
101,101,"air fresheners candles","air fresheners candles"
66,66,"asian foods","asian foods"
82,82,"baby accessories","baby accessories"
102,102,"baby bath body care","baby bath body care"
92,92,"baby food formula","baby food formula"
8,8,"bakery desserts","bakery desserts"
17,17,"baking ingredients","baking ingredients"
97,97,"baking supplies decor","baking supplies decor"
132,132,beauty,beauty
27,27,"beers coolers","beers coolers"
127,127,"body lotions soap","body lotions soap"
112,112,bread,bread
93,93,"breakfast bakery","breakfast bakery"
48,48,"breakfast bars pastries","breakfast bars pastries"
18,18,"bulk dried fruits vegetables","bulk dried fruits vegetables"
68,68,"bulk grains rice dried goods","bulk grains rice dried goods"
43,43,"buns rolls","buns rolls"
36,36,butter,butter
45,45,"candy chocolate","candy chocolate"
99,99,"canned fruit applesauce","canned fruit applesauce"
81,81,"canned jarred vegetables","canned jarred vegetables"
59,59,"canned meals beans","canned meals beans"
95,95,"canned meat seafood","canned meat seafood"
41,41,"cat food care","cat food care"
121,121,cereal,cereal
107,107,"chips pretzels","chips pretzels"
114,114,"cleaning products","cleaning products"
90,90,"cocoa drink mixes","cocoa drink mixes"
26,26,coffee,coffee
11,11,"cold flu allergy","cold flu allergy"
72,72,condiments,condiments
61,61,"cookies cakes","cookies cakes"
78,78,crackers,crackers
53,53,cream,cream
80,80,deodorants,deodorants
56,56,"diapers wipes","diapers wipes"
70,70,digestion,digestion
74,74,"dish detergents","dish detergents"
40,40,"dog food care","dog food care"
105,105,"doughs gelatins bake mixes","doughs gelatins bake mixes"
131,131,"dry pasta","dry pasta"
86,86,eggs,eggs
3,3,"energy granola bars","energy granola bars"
64,64,"energy sports drinks","energy sports drinks"
44,44,"eye ear care","eye ear care"
73,73,"facial care","facial care"
126,126,"feminine care","feminine care"
118,118,"first aid","first aid"
85,85,"food storage","food storage"
67,67,"fresh dips tapenades","fresh dips tapenades"
24,24,"fresh fruits","fresh fruits"
16,16,"fresh herbs","fresh herbs"
12,12,"fresh pasta","fresh pasta"
83,83,"fresh vegetables","fresh vegetables"
129,129,"frozen appetizers sides","frozen appetizers sides"
58,58,"frozen breads doughs","frozen breads doughs"
52,52,"frozen breakfast","frozen breakfast"
119,119,"frozen dessert","frozen dessert"
113,113,"frozen juice","frozen juice"
38,38,"frozen meals","frozen meals"
34,34,"frozen meat seafood","frozen meat seafood"
79,79,"frozen pizza","frozen pizza"
116,116,"frozen produce","frozen produce"
42,42,"frozen vegan vegetarian","frozen vegan vegetarian"
50,50,"fruit vegetable snacks","fruit vegetable snacks"
63,63,"grains rice dried goods","grains rice dried goods"
57,57,granola,granola
22,22,"hair care","hair care"
29,29,"honeys syrups nectars","honeys syrups nectars"
130,130,"hot cereal pancake mixes","hot cereal pancake mixes"
106,106,"hot dogs bacon sausage","hot dogs bacon sausage"
37,37,"ice cream ice","ice cream ice"
103,103,"ice cream toppings","ice cream toppings"
76,76,"indian foods","indian foods"
4,4,"instant foods","instant foods"
98,98,"juice nectars","juice nectars"
10,10,"kitchen supplies","kitchen supplies"
33,33,"kosher foods","kosher foods"
30,30,"latino foods","latino foods"
75,75,laundry,laundry
96,96,"lunch meat","lunch meat"
5,5,"marinades meat preparation","marinades meat preparation"
122,122,"meat counter","meat counter"
84,84,milk,milk
46,46,"mint gum","mint gum"
100,100,missing,missing
87,87,"more household","more household"
133,133,"muscles joints pain relief","muscles joints pain relief"
117,117,"nuts seeds dried fruit","nuts seeds dried fruit"
19,19,"oils vinegars","oils vinegars"
20,20,"oral hygiene","oral hygiene"
6,6,other,other
108,108,"other creams cheeses","other creams cheeses"
21,21,"packaged cheese","packaged cheese"
7,7,"packaged meat","packaged meat"
49,49,"packaged poultry","packaged poultry"
32,32,"packaged produce","packaged produce"
15,15,"packaged seafood","packaged seafood"
123,123,"packaged vegetables fruits","packaged vegetables fruits"
54,54,"paper goods","paper goods"
9,9,"pasta sauce","pasta sauce"
110,110,"pickled goods olives","pickled goods olives"
111,111,"plates bowls cups flatware","plates bowls cups flatware"
23,23,"popcorn jerky","popcorn jerky"
35,35,"poultry counter","poultry counter"
13,13,"prepared meals","prepared meals"
1,1,"prepared soups salads","prepared soups salads"
51,51,"preserved dips spreads","preserved dips spreads"
65,65,"protein meal replacements","protein meal replacements"
28,28,"red wines","red wines"
31,31,refrigerated,refrigerated
71,71,"refrigerated pudding desserts","refrigerated pudding desserts"
89,89,"salad dressing toppings","salad dressing toppings"
3489,3489,sdf,sdf
39,39,"seafood counter","seafood counter"
55,55,"shave needs","shave needs"
109,109,"skin care","skin care"
25,25,soap,soap
77,77,"soft drinks","soft drinks"
69,69,"soup broth bouillon","soup broth bouillon"
91,91,"soy lactosefree","soy lactosefree"
2,2,"specialty cheeses","specialty cheeses"
134,134,"specialty wines champagnes","specialty wines champagnes"
104,104,"spices seasonings","spices seasonings"
124,124,spirits,spirits
88,88,spreads,spreads
94,94,tea,tea
14,14,"tofu meat alternatives","tofu meat alternatives"
128,128,"tortillas flat bread","tortillas flat bread"
125,125,"trail mix snack mix","trail mix snack mix"
60,60,"trash bags liners","trash bags liners"
47,47,"vitamins supplements","vitamins supplements"
115,115,"water seltzer sparkling water","water seltzer sparkling water"
62,62,"white wines","white wines"
120,120,yogurt,yogurt
